0:0:0,x,y,z
0:3:10.8,1756.25,3117.19,-4585.94
0:3:10.29,1028.12,353.12,-14962.5
0:3:10.51,-8703.12,-10817.19,-5601.56
0:3:10.73,640.62,3464.06,9506.25
0:3:10.94,6345.31,10810.94,19946.88
0:3:11.16,-4.69,-1959.38,-2657.81
0:3:11.37,-1620.31,-2987.5,-11551.56
0:3:11.59,-7101.56,-10723.44,-7339.06
0:3:11.82,646.88,3762.5,12104.69
0:3:12.3,6734.38,11117.19,21500.0
0:3:12.24,2015.62,2823.44,-4042.19
0:3:12.45,1093.75,295.31,-11293.75
0:3:12.68,-8523.44,-11154.69,-6170.31
0:3:12.89,1085.94,6339.06,6676.56
0:3:13.16,5079.69,1846.88,18937.5
0:3:13.38,1143.75,3148.44,-4592.19
0:3:13.59,-1720.31,-5504.69,-17092.19
0:3:13.81,-4623.44,-8001.56,-6804.69
0:3:14.2,4201.56,6651.56,2562.5
0:3:14.23,2553.12,5131.25,15381.25
0:3:14.45,-1664.06,553.12,3593.75
0:3:14.67,-400.0,-6828.12,-24451.56
0:3:14.89,-2356.25,-4034.38,-11020.31
0:3:15.11,2759.38,7081.25,16159.38
0:3:15.33,2956.25,-689.06,11407.81
0:3:15.55,465.62,1385.94,-3775.0
0:3:15.77,-6979.69,-12750.0,-12801.56
0:3:16.0,-2535.94,-2089.06,-9223.441
0:3:16.22,3720.31,9312.5,16037.5
0:3:16.44,298.44,-3203.12,1057.81
0:3:16.71,73.44,1417.19,-9090.62
0:3:16.93,-10576.56,-10614.06,-5817.19
0:3:17.15,2657.81,3456.25,4417.19
0:3:17.37,6696.88,7656.25,17698.44
0:3:17.61,1845.31,928.1199,-682.81
0:3:17.84,928.1199,1989.06,-14759.38
0:3:18.7,-1289.06,-4421.88,-6154.69
0:3:18.28,3276.56,6353.12,8167.19
0:3:18.51,2931.25,153.12,17360.94
0:3:18.73,475.0,-295.31,296.88
0:3:18.96,-4196.88,-9300.0,-20617.19
0:3:19.19,-2703.12,-6862.5,-4882.81
0:3:19.41,3267.19,6770.31,14785.94
0:3:19.63,-1092.19,-4404.69,4615.62
0:3:19.86,-295.31,656.25,-534.38
0:3:20.8,-8387.5,-12959.38,-15779.69
0:3:20.34,-1595.31,1381.25,4135.94
0:3:20.57,6796.88,14048.44,18735.94
0:3:20.80,1037.5,2176.56,-2939.06
0:3:21.2,-442.19,-996.88,-8593.75
0:3:21.24,-6567.19,-7121.88,-8014.06
0:3:21.46,1882.81,3520.31,8776.56
0:3:21.72,5335.94,5895.31,13865.62
0:3:21.93,-612.5,-2000.0,-635.94
0:3:22.13,1662.5,2198.44,-12182.81
0:3:22.34,-5523.44,-8921.88,-7403.12
0:3:22.54,1242.19,4178.12,5735.94
0:3:22.74,6779.69,10229.69,20579.69
0:3:22.95,2484.38,5906.25,-1787.5
